team,scorer,assist1,assist2
DET,T.TATAR,,
DET,T.TATAR,T.JURCO,R.SHEAHAN
MTL,M.PACIORETTY,D.DESHARNAIS,T.VANEK
MTL,T.VANEK,A.MARKOV,A.EMELIN
DET,J.FRANZEN,G.NYQUIST,D.HELM
L.A,J.CARTER,M.GABORIK,A.KOPITAR
L.A,A.MARTINEZ,J.STOLL,T.TOFFOLI
PIT,C.KUNITZ,J.MEGNA,S.CROSBY
PIT,T.PYATT,B.GIBBONS,M.GOC
L.A,D.DOUGHTY,D.BROWN,T.PEARSON
PHX,K.CHIPCHURA,L.KORPIKOSKI,C.SUMMERS
PHX,C.SUMMERS,K.CHIPCHURA,R.VRBATA
N.J,R.CLOWE,J.MERRILL,J.JOSEFSON
N.J,A.HENRIQUE,P.ELIAS,M.BRODEUR
BOS,P.BERGERON,M.BARTKOWSKI,D.PAILLE
BOS,C.SODERBERG,C.KELLY,J.BOYCHUK
BOS,P.BERGERON,B.MARCHAND,
ANA,N.BONINO,S.VATANEN,J.HILLER
CGY,B.MCGRATTAN,K.WESTGARTH,T.WOTHERSPOON
CGY,J.HUDLER,L.SMID,M.STAJAN
ANA,M.PERREAULT,S.VATANEN,P.MAROON
ANA,A.COGLIANO,S.ROBIDAS,J.SILFVERBERG
NYR,D.DORSETT,B.BOYLE,
NYR,R.MCDONAGH,,
NYR,D.MOORE,K.KLEIN,
PHI,J.VORACEK,M.STREIT,C.GIROUX
VAN,D.BOOTH,,
MIN,C.COYLE,M.KOIVU,J.SPURGEON
VAN,D.BOOTH,,
VAN,Z.KASSIAN,B.RICHARDSON,
VAN,D.SEDIN,D.HAMHUIS,J.HANSEN
VAN,R.KESLER,C.HIGGINS,
MIN,N.NIEDERREITER,E.HAULA,R.SUTER
EDM,D.PERRON,T.HALL,J.PETRY
S.J,J.PAVELSKI,P.MARLEAU,J.THORNTON
S.J,P.MARLEAU,J.PAVELSKI,B.BURNS
S.J,M.HAVLAT,J.DEMERS,
S.J,J.PAVELSKI,D.BOYLE,B.BURNS
S.J,J.PAVELSKI,J.THORNTON,B.STUART
EDM,T.HALL,A.FERENCE,J.EBERLE
CBJ,R.JOHANSEN,B.JENNER,J.WISNIEWSKI
CBJ,B.DUBINSKY,J.JOHNSON,J.WISNIEWSKI
DET,G.NYQUIST,R.SHEAHAN,T.TATAR
DET,G.NYQUIST,T.TATAR,
CBJ,C.ATKINSON,M.CALVERT,B.DUBINSKY
CBJ,R.JOHANSEN,J.WISNIEWSKI,
OTT,M.STONE,E.KARLSSON,K.TURRIS
OTT,C.MACARTHUR,P.WIERCIOCH,K.TURRIS
FLA,S.BERGENHEIM,B.CAMPBELL,N.BJUGSTAD
FLA,V.TROCHECK,S.UPSHALL,T.FLEISCHMANN
MTL,M.PACIORETTY,T.VANEK,D.DESHARNAIS
MTL,D.BRIERE,R.BOURQUE,
NSH,R.JOSI,G.BOURQUE,C.SMITH
NSH,R.JOSI,C.JARNKROK,
COL,G.LANDESKOG,P.STASTNY,N.MACKINNON
COL,G.LANDESKOG,P.STASTNY,
NSH,M.CULLEN,R.ELLIS,M.FISHER
COL,C.MCLEOD,M.DUCHENE,A.BENOIT
NSH,M.CULLEN,P.HORNQVIST,R.ELLIS
COL,N.HOLDEN,G.LANDESKOG,T.BARRIE
