team,scorer,assist1,assist2
NYI,F.NIELSEN,F.MEYER,
PHI,M.RICHARDS,P.THORESEN,
TOR,A.STRALMAN,N.ANTROPOV,J.TLUSTY
MTL,M.DANDENAULT,M.LAPIERRE,S.KOSTITSYN
TOR,A.STRALMAN,,
TOR,J.TLUSTY,N.ANTROPOV,
TOR,J.TLUSTY,N.ANTROPOV,P.KUBINA
MTL,T.KOSTOPOULOS,P.BRISEBOIS,
L.A,K.DALLMAN,D.BROWN,J.GIULIANO
DAL,S.ROBIDAS,M.RIBEIRO,J.LEHTINEN
DAL,S.BARNES,M.MODANO,M.NORSTROM
DAL,B.MORROW,S.ROBIDAS,M.RIBEIRO
DAL,L.ERIKSSON,B.RICHARDS,T.DALEY
DAL,L.ERIKSSON,B.RICHARDS,
DAL,J.LEHTINEN,M.RIBEIRO,S.ROBIDAS
DAL,N.HAGMAN,B.CROMBEEN,M.NORSTROM
L.A,M.CAMMALLERI,,
BOS,P.AXELSSON,G.METROPOLIT,M.LUCIC
BOS,M.STURM,G.MURRAY,D.KREJCI
BOS,S.HNIDY,D.KREJCI,
BOS,D.KREJCI,G.MURRAY,M.STURM
STL,B.BOYES,P.KARIYA,R.JOHNSON
STL,E.JOHNSON,P.KARIYA,B.BOYES
DET,B.RAFALSKI,H.ZETTERBERG,P.DATSYUK
STL,A.MCDONALD,,
DET,J.FRANZEN,H.ZETTERBERG,P.DATSYUK
DET,J.FRANZEN,H.ZETTERBERG,P.DATSYUK
STL,B.BOYES,P.KARIYA,J.WOYWITKA
BUF,D.STAFFORD,D.ROY,A.SEKERA
MTL,A.KOVALEV,M.GRABOVSKI,F.BOUILLON
BUF,N.PAETSCH,D.ROY,T.VANEK
BUF,D.PAILLE,J.POMINVILLE,
MTL,T.PLEKANEC,M.STREIT,A.KOVALEV
MTL,T.PLEKANEC,M.STREIT,A.KOSTITSYN
MTL,C.HIGGINS,M.STREIT,S.KOIVU
S.J,P.MARLEAU,J.PAVELSKI,C.EHRHOFF
ANA,S.NIEDERMAYER,M.SCHNEIDER,B.RYAN
S.J,J.ROENICK,J.PAVELSKI,B.CAMPBELL
S.J,C.BROWN,J.PAVELSKI,
COL,A.BRUNETTE,R.SMYTH,J.FINGER
COL,M.HEJDUK,P.FORSBERG,P.STASTNY
EDM,T.GILBERT,R.NILSSON,A.COGLIANO
EDM,J.STOLL,T.GILBERT,A.HEMSKY
EDM,C.GLENCROSS,K.BRODZIAK,D.GREBESHKOV
COL,A.BRUNETTE,P.FORSBERG,J.SAKIC
EDM,S.GAGNER,R.NILSSON,A.COGLIANO
COL,J.SAKIC,A.BRUNETTE,P.FORSBERG
MIN,P.BOUCHARD,B.POULIOT,M.KOIVU
MIN,M.KOIVU,B.ROLSTON,S.HILL
MIN,B.BURNS,M.GABORIK,P.DEMITRA
MIN,T.FEDORUK,M.GABORIK,K.CARNEY
NSH,J.HLAVAC,R.SUTER,J.DUMONT
NSH,R.BONK,M.ERAT,A.RADULOV
CAR,E.STAAL,E.COLE,S.SAMSONOV
CAR,J.HAMILTON,J.CORVO,E.STAAL
CAR,J.CORVO,E.COLE,E.STAAL
CAR,T.RUUTU,T.LETOWSKI,K.AUCOIN
ATL,J.SLATER,C.ARMSTRONG,
CAR,T.RUUTU,S.WALKER,F.KABERLE
CAR,T.LETOWSKI,C.LAROSE,T.GLEASON
CAR,J.HAMILTON,F.KABERLE,T.GLEASON
PHI,V.PROSPAL,D.BRIERE,J.SMITH
N.J,D.ODUYA,P.MARTIN,P.ELIAS
N.J,D.ODUYA,Z.PARISE,C.WHITE
