team,scorer,assist1,assist2
L.A,D.DOUGHTY,M.RICHARDS,A.KOPITAR
CBJ,D.PROUT,B.COMEAU,F.TYUTIN
L.A,K.CLIFFORD,J.NOLAN,B.RICHARDSON
VAN,D.ROY,R.KESLER,J.HANSEN
DAL,V.FIDDLER,E.NYSTROM,C.EAKIN
DAL,C.EAKIN,R.SMITH,P.LARSEN
DAL,J.BENN,,
DAL,R.WHITNEY,J.BENN,B.DILLON
DAL,E.COLE,S.ROBIDAS,L.ERIKSSON
N.J,R.CARTER,S.GIONTA,
N.J,M.DAGOSTINI,J.JOSEFSON,
N.J,A.HENRIQUE,D.ZUBRUS,T.ZAJAC
OTT,K.TURRIS,M.MICHALEK,C.PHILLIPS
WSH,M.RIBEIRO,M.ERAT,J.HILLEN
OTT,C.CONACHER,,
OTT,K.TURRIS,C.PHILLIPS,C.GREENING
MTL,A.GALCHENYUK,B.GALLAGHER,D.DREWISKE
MTL,B.GIONTA,T.PLEKANEC,M.PACIORETTY
T.B,R.PANIK,V.HEDMAN,A.KILLORN
T.B,V.LECAVALIER,B.POULIOT,V.HEDMAN
MTL,B.GIONTA,Y.WEBER,M.RYDER
STL,D.PERRON,D.BACKES,A.PIETRANGELO
PHX,R.VRBATA,O.EKMAN-LARSSON,M.HANZAL
WPG,Z.BOGOSIAN,B.LITTLE,A.LADD
WPG,P.POSTMA,B.WHEELER,Z.BOGOSIAN
CAR,T.RUUTU,J.FAULK,T.GLEASON
WPG,B.WHEELER,B.LITTLE,A.LADD
CAR,T.RUUTU,M.BERGERON,J.STAAL
CAR,A.SEMIN,J.TLUSTY,J.STAAL
WPG,D.BYFUGLIEN,A.LADD,B.WHEELER
NYR,D.BRASSARD,R.NASH,R.CALLAHAN
NYR,R.NASH,R.CALLAHAN,D.STEPAN
FLA,J.HUBERDEAU,S.MATTHIAS,T.BRENNAN
NYR,M.ZUCCARELLO,R.CLOWE,
NYR,M.ZUCCARELLO,B.RICHARDS,
NYR,D.BRASSARD,M.DEL ZOTTO,R.NASH
NYR,B.RICHARDS,T.PYATT,R.MCDONAGH
TOR,J.LUPUL,P.KESSEL,J.GARDINER
TOR,C.FRANSON,T.BOZAK,P.KESSEL
NYI,B.BOYES,J.TAVARES,L.VISNOVSKY
NYI,M.MOULSON,B.BOYES,L.VISNOVSKY
NYI,J.TAVARES,M.MOULSON,A.MACDONALD
NYI,J.TAVARES,B.BOYES,M.STREIT
NYI,F.NIELSEN,K.OKPOSO,
TOR,D.PHANEUF,P.KESSEL,J.GARDINER
CGY,L.STEMPNIAK,C.SARICH,S.BAERTSCHI
DET,G.NYQUIST,J.ANDERSSON,D.CLEARY
CGY,S.BEGIN,,
CGY,S.BEGIN,R.HORAK,
DET,J.FRANZEN,K.QUINCEY,B.SMITH
BOS,D.PAILLE,C.KELLY,
BUF,T.VANEK,C.EHRHOFF,T.ENNIS
BOS,C.KELLY,D.PAILLE,A.FERENCE
BUF,C.HODGSON,T.VANEK,D.STAFFORD
ANA,S.VATANEN,R.GETZLAF,C.PERRY
CBJ,B.COMEAU,J.WISNIEWSKI,
ANA,D.STECKEL,K.PALMIERI,S.SOURAY
CBJ,M.CALVERT,B.DUBINSKY,D.PROUT
CBJ,F.TYUTIN,N.FOLIGNO,M.GABORIK
PIT,B.SUTTER,M.NISKANEN,K.LETANG
PIT,B.MORROW,P.DUPUIS,C.ADAMS
PIT,J.IGINLA,C.KUNITZ,K.LETANG
PIT,B.MORROW,B.BENNETT,M.NISKANEN
MTL,B.GIONTA,B.PRUST,L.ELLER
PIT,B.SUTTER,B.MORROW,K.LETANG
MTL,A.GALCHENYUK,L.ELLER,T.MOEN
MTL,G.DUMONT,D.DESHARNAIS,M.PACIORETTY
PIT,D.MURRAY,J.IGINLA,
MTL,A.MARKOV,D.DESHARNAIS,Y.WEBER
S.J,B.BURNS,,
S.J,T.GALIARDI,B.BURNS,J.THORNTON
L.A,J.MUZZIN,S.VOYNOV,J.WILLIAMS
L.A,D.BROWN,R.REGEHR,A.KOPITAR
MIN,K.BRODZIAK,,
EDM,N.YAKUPOV,T.HALL,J.SCHULTZ
MIN,C.COYLE,C.STONER,
MIN,M.GRANLUND,T.MITCHELL,C.STONER
MIN,Z.PARISE,J.POMINVILLE,R.SUTER
MIN,K.BRODZIAK,J.POMINVILLE,P.BOUCHARD
EDM,S.HORCOFF,T.HALL,R.NUGENT-HOPKINS
EDM,M.PAAJARVI,N.YAKUPOV,J.PETRY
PHI,B.SCHENN,B.MANNING,D.BRIERE
PHI,E.GUSTAFSSON,S.COUTURIER,M.READ
NYR,M.ZUCCARELLO,J.MOORE,
PHI,K.TIMONEN,C.GIROUX,
NYR,D.STEPAN,R.CALLAHAN,D.BRASSARD
PHI,J.VORACEK,K.TIMONEN,C.GIROUX
OTT,M.ZIBANEJAD,C.CONACHER,S.GONCHAR
OTT,M.MICHALEK,P.WIERCIOCH,S.GONCHAR
CAR,J.FAULK,E.STAAL,
OTT,C.NEIL,G.LATENDRESSE,
CAR,E.STAAL,J.TLUSTY,J.FAULK
VAN,A.EDLER,H.SEDIN,D.SEDIN
STL,J.BOUWMEESTER,D.PERRON,A.PIETRANGELO
WPG,A.LADD,B.WHEELER,B.LITTLE
T.B,M.ST LOUIS,,
WPG,B.WHEELER,A.LADD,Z.BOGOSIAN
WPG,A.LADD,B.WHEELER,Z.BOGOSIAN
T.B,P.LABRIE,N.THOMPSON,R.GUDAS
T.B,S.STAMKOS,M.CARLE,
WSH,J.HILLEN,J.CHIMERA,E.FEHR
WSH,M.ERAT,A.OVECHKIN,J.CARLSON
WSH,T.BROUWER,J.CARLSON,M.ERAT
WSH,A.OVECHKIN,M.GREEN,M.RIBEIRO
TOR,M.GRABOVSKI,R.HAMILTON,L.KOMAROV
WSH,M.JOHANSSON,M.GREEN,M.RIBEIRO
NYI,M.MOULSON,M.MARTIN,T.HICKEY
NYI,M.STREIT,K.OKPOSO,F.NIELSEN
NYI,M.GRABNER,A.MACDONALD,E.NABOKOV
FLA,D.KULIKOV,T.FLEISCHMANN,M.GOC
NYI,R.MARTINEK,J.JOENSUU,M.STREIT
NYI,M.GRABNER,,
FLA,M.GOC,T.KOPECKY,T.FLEISCHMANN
PHI,S.COUTURIER,W.SIMMONDS,L.SCHENN
PHI,E.GUSTAFSSON,,
MTL,M.PACIORETTY,T.PLEKANEC,P.SUBBAN
MTL,B.GALLAGHER,M.PACIORETTY,P.SUBBAN
PHI,J.VORACEK,C.GIROUX,S.GAGNE
PHI,S.HARTNELL,C.GIROUX,K.TIMONEN
MTL,A.GALCHENYUK,D.DREWISKE,L.ELLER
PHI,C.GIROUX,J.VORACEK,K.TIMONEN
PHI,S.HARTNELL,J.VORACEK,W.SIMMONDS
PHI,S.HARTNELL,B.SCHENN,D.BRIERE
S.J,L.COUTURE,J.DEMERS,P.MARLEAU
