id,team,scorer,assist1,assist2
231,EDM,S.SOURAY,A.HEMSKY,S.GAGNER
232,EDM,A.HEMSKY,,
233,EDM,S.GAGNER,R.NILSSON,D.PENNER
234,EDM,A.COGLIANO,A.KOTALIK,T.GILBERT
235,EDM,D.GREBESHKOV,T.GILBERT,
236,EDM,Z.STORTINI,T.GILBERT,S.GAGNER
237,EDM,F.PISANI,E.MOREAU,D.GREBESHKOV
238,EDM,A.KOTALIK,A.HEMSKY,S.HORCOFF
239,EDM,D.PENNER,S.HORCOFF,P.OSULLIVAN
240,EDM,F.PISANI,A.COGLIANO,
241,EDM,D.PENNER,S.GAGNER,A.HEMSKY
242,EDM,K.BRODZIAK,,
243,EDM,A.KOTALIK,A.HEMSKY,S.SOURAY
244,EDM,A.KOTALIK,A.HEMSKY,S.HORCOFF
245,EDM,A.HEMSKY,S.STAIOS,
246,EDM,D.GREBESHKOV,A.HEMSKY,D.PENNER
247,EDM,A.KOTALIK,R.NILSSON,S.GAGNER
248,EDM,D.PENNER,D.GREBESHKOV,A.HEMSKY
249,EDM,A.COGLIANO,L.REDDOX,F.PISANI
250,EDM,E.MOREAU,D.PENNER,K.BRODZIAK
251,EDM,S.GAGNER,R.NILSSON,D.ROLOSON
252,EDM,E.MOREAU,K.BRODZIAK,D.PENNER
253,EDM,S.HORCOFF,P.OSULLIVAN,T.GILBERT
254,EDM,F.PISANI,L.REDDOX,T.GILBERT
255,EDM,S.GAGNER,R.NILSSON,A.KOTALIK
256,EDM,A.KOTALIK,S.GAGNER,R.NILSSON
257,EDM,S.GAGNER,A.KOTALIK,S.SOURAY
258,EDM,S.SOURAY,S.STAIOS,D.PENNER
259,EDM,S.GAGNER,R.NILSSON,A.KOTALIK
260,EDM,S.SOURAY,D.GREBESHKOV,S.GAGNER
261,EDM,R.NILSSON,S.GAGNER,S.SOURAY
262,EDM,S.SOURAY,K.BRODZIAK,S.STAIOS
263,EDM,S.HORCOFF,D.GREBESHKOV,A.HEMSKY
264,EDM,P.OSULLIVAN,F.PISANI,S.STAIOS
265,EDM,R.NILSSON,S.GAGNER,M.POULIOT
266,EDM,A.COGLIANO,S.STAIOS,S.SOURAY
267,EDM,S.SOURAY,A.HEMSKY,P.OSULLIVAN
268,EDM,S.GAGNER,M.POULIOT,D.GREBESHKOV
269,EDM,A.HEMSKY,S.HORCOFF,T.GILBERT
270,EDM,K.BRODZIAK,L.REDDOX,
271,EDM,F.PISANI,D.GREBESHKOV,A.COGLIANO
272,EDM,K.BRODZIAK,A.HEMSKY,S.HORCOFF
273,EDM,S.GAGNER,D.GREBESHKOV,T.GILBERT
274,EDM,S.GAGNER,S.STAIOS,L.SMID
275,EDM,S.GAGNER,L.SMID,
276,EDM,M.POULIOT,S.GAGNER,E.COLE
277,EDM,A.COGLIANO,F.PISANI,
278,EDM,J.JACQUES,L.SMID,Z.STORTINI
279,EDM,E.COLE,S.GAGNER,J.STRUDWICK
280,EDM,A.HEMSKY,S.HORCOFF,T.GILBERT
281,EDM,Z.STORTINI,L.REDDOX,L.SMID
282,EDM,T.GILBERT,L.REDDOX,D.GREBESHKOV
283,EDM,E.COLE,,
284,EDM,J.STRUDWICK,S.GAGNER,
285,EDM,S.SOURAY,A.COGLIANO,
286,EDM,A.COGLIANO,Z.STORTINI,E.MOREAU
287,EDM,S.SOURAY,K.BRODZIAK,E.MOREAU
288,EDM,E.COLE,S.HORCOFF,S.SOURAY
289,EDM,A.HEMSKY,S.HORCOFF,J.STRUDWICK
290,EDM,L.REDDOX,L.SMID,K.BRODZIAK
291,EDM,S.HORCOFF,S.SOURAY,S.STAIOS
292,EDM,Z.STORTINI,K.BRODZIAK,T.GILBERT
293,EDM,E.COLE,S.SOURAY,T.GILBERT
294,EDM,A.HEMSKY,D.PENNER,S.HORCOFF
295,EDM,S.SOURAY,A.HEMSKY,T.GILBERT
296,EDM,S.HORCOFF,K.BRODZIAK,T.GILBERT
297,EDM,D.PENNER,A.HEMSKY,
298,EDM,S.HORCOFF,D.PENNER,A.HEMSKY
