team,scorer,assist1,assist2
Ottawa,Jean-Gabriel Pageau,Cody Ceci,Craig Anderson
New Jersey,Damien Brunner,Ryane Clowe,Travis Zajac
New Jersey,Steve Bernier,Andrei Loktionov,Peter Harrold
New Jersey,Dainius Zubrus,Adam Larsson,Andy Greene
Philadelphia,Matt Read,,
New Jersey,Michael Ryder,Adam Henrique,Bryce Salvador
Columbus,Nikita Nikitin,Jack Skille,Sean Collins
Carolina,Nathan Gerbe,,
Carolina,Nathan Gerbe,Patrick Dwyer,Jordan Staal
Boston,Patrice Bergeron,Brad Marchand,Torey Krug
Winnipeg,Devin Setoguchi,Jacob Trouba,Olli Jokinen
Winnipeg,Mark Scheifele,Eric Tangradi,Grant Clitsome
Boston,Ryan Spooner,Matt Bartkowski,Torey Krug
Boston,Loui Eriksson,Ryan Spooner,Dennis Seidenberg
Ottawa,Cory Conacher,Chris Wideman,
Montreal,Alex Galchenyuk,Daniel Briere,Lars Eller
Montreal,Tomas Plekanec,Brian Gionta,Rene Bourque
Montreal,Max Pacioretty,Daniel Briere,David Desharnais
Dallas,Alex Chiasson,Alex Goligoski,Ray Whitney
Dallas,Erik Cole,Tyler Seguin,Jordie Benn
Dallas,Alex Goligoski,Ray Whitney,
Dallas,Alex Chiasson,Tyler Seguin,Sergei Gonchar
Colorado,Jamie Mcginn,Erik Johnson,Marc-Andre Cliche
Dallas,Valeri Nichushkin,Alex Goligoski,
Vancouver,Henrik Sedin,Alexander Edler,Daniel Sedin
Vancouver,Frank Corrado,Jannik Hansen,Ryan Kesler
Vancouver,Henrik Sedin,Alexandre Burrows,Alexander Edler
Vancouver,Ryan Kesler,Alexander Edler,Kevin Bieksa
Vancouver,Hunter Shinkaruk,Alexandre Burrows,Frank Corrado
Tampa Bay,Steven Stamkos,Martin St Louis,Jonathan Drouin
Tampa Bay,Brett Connolly,Radko Gudas,Richard Panik
Florida,Brad Boyes,Kris Versteeg,Dmitry Kulikov
Florida,Scott Gomez,Jonathan Huberdeau,Brian Campbell
Florida,Jesse Winchester,Marcel Goc,Dmitry Kulikov
Tampa Bay,Martin St Louis,Steven Stamkos,Sami Salo
Florida,Kris Versteeg,Tomas Kopecky,Aleksander Barkov
Florida,Kris Versteeg,Brian Campbell,Tom Gilbert
Toronto,Josh Leivo,Cody Franson,Andrew Macwilliam
Toronto,John-Michael Liles,Joe Colborne,
Toronto,Josh Leivo,John-Michael Liles,Joe Colborne
Detroit,Mitch Callahan,Tomas Jurco,Jakub Kindl
Chicago,Nick Leddy,Patrick Sharp,
Washington,Mikhail Grabovski,Dane Byers,
Chicago,Nick Leddy,Patrick Sharp,Ben Smith
Washington,Marcus Johansson,Troy Brouwer,Mikhail Grabovski
Chicago,Jimmy Hayes,Nick Leddy,Andrew Shaw
Washington,Joel Ward,Jason Chimera,Martin Erat
Chicago,Andrew Shaw,Sheldon Brookbank,Brandon Saad
Anaheim,Daniel Winnik,Mark Fistric,Saku Koivu
San Jose,Patrick Marleau,Scott Hannan,Logan Couture
Anaheim,Andrew Cogliano,Cam Fowler,
San Jose,Joe Pavelski,Tyler Kennedy,Tommy Wingels
San Jose,Jason Demers,Matthew Nieto,Tommy Wingels
San Jose,John Mccarthy,Matt Pelech,Marc-Edouard Vlasic
San Jose,Dan Boyle,Logan Couture,Tommy Wingels
Anaheim,Kyle Palmieri,Cam Fowler,Francois Beauchemin
Anaheim,Dustin Penner,Peter Holland,Devante Smith-Pelly
San Jose,Dan Boyle,Joe Pavelski,Patrick Marleau
Anaheim,Saku Koivu,Daniel Winnik,Andrew Cogliano
Toronto,James Van Riemsdyk,Phil Kessel,Cody Franson
Montreal,Lars Eller,Raphael Diaz,Alex Galchenyuk
Montreal,Brendan Gallagher,Lars Eller,Alex Galchenyuk
Toronto,Dion Phaneuf,Nazem Kadri,Nikolai Kulemin
Toronto,Tyler Bozak,,
Toronto,Mason Raymond,Troy Bodie,
Montreal,Lars Eller,,
Chicago,Brandon Bollig,Niklas Hjalmarsson,Marcus Kruger
Washington,Alex Ovechkin,Mikhail Grabovski,Nicklas Backstrom
Chicago,Patrick Kane,Jonathan Toews,Michal Rozsival
Washington,Mikhail Grabovski,Joel Ward,
Chicago,Brent Seabrook,Marian Hossa,Brandon Saad
Washington,Mikhail Grabovski,Mike Green,Alex Ovechkin
Washington,Mikhail Grabovski,Mike Green,Nicklas Backstrom
Chicago,Brandon Saad,Michal Handzus,Duncan Keith
Chicago,Johnny Oduya,Brandon Saad,Niklas Hjalmarsson
Chicago,Marian Hossa,,
Edmonton,Luke Gazdic,Will Acton,
Winnipeg,Mark Scheifele,Dustin Byfuglien,Tobias Enstrom
Winnipeg,Bryan Little,Tobias Enstrom,Dustin Byfuglien
Edmonton,Boyd Gordon,Justin Schultz,Ales Hemsky
Edmonton,Ales Hemsky,Taylor Hall,Ryan Smyth
Edmonton,Jesse Joensuu,Jordan Eberle,Mark Arcobello
Winnipeg,Michael Frolik,Zach Bogosian,Jacob Trouba
Winnipeg,Jacob Trouba,,
Winnipeg,Michael Frolik,Eric Tangradi,Dustin Byfuglien
Washington,Eric Fehr,Mikhail Grabovski,
Washington,Nicklas Backstrom,Marcus Johansson,Alex Ovechkin
Washington,Eric Fehr,Dane Byers,Mikhail Grabovski
Washington,Alex Ovechkin,Mikhail Grabovski,Nicklas Backstrom
Nashville,Gabriel Bourque,Victor Bartley,Craig Smith
Buffalo,Ville Leino,Cody Hodgson,Mike Weber
Buffalo,Mikhail Grigorenko,Drew Stafford,Mike Weber
Buffalo,Zemgus Girgensons,Mikhail Grigorenko,Mike Weber
Montreal,Magnus Nygren,Lars Eller,Greg Pateryn
Ottawa,Clarke Macarthur,Cory Conacher,Erik Karlsson
Ottawa,Bobby Ryan,Erik Karlsson,Andrew Hammond
Ottawa,Milan Michalek,Stephane Da Costa,
Ottawa,Cory Conacher,Patrick Wiercioch,Clarke Macarthur
Ottawa,Mika Zibanejad,Milan Michalek,Erik Karlsson
Montreal,Raphael Diaz,Martin St Pierre,
Pittsburgh,Jussi Jokinen,Matt Niskanen,Marc-Andre Fleury
Pittsburgh,Pascal Dupuis,Sidney Crosby,Chris Kunitz
Pittsburgh,Craig Adams,Evgeni Malkin,Rob Scuderi
Detroit,Drew Miller,Mikael Samuelsson,
Pittsburgh,Chris Kunitz,,
Pittsburgh,Chris Kunitz,Sidney Crosby,Evgeni Malkin
Minnesota,Matt Cooke,Kyle Brodziak,Torrey Mitchell
Minnesota,Charlie Coyle,Ryan Suter,Dany Heatley
Minnesota,Torrey Mitchell,Keith Ballard,
St. Louis,Jaden Schwartz,,
Phoenix,Shane Doan,Oliver Ekman-Larsson,Mikkel Boedker
Phoenix,Oliver Ekman-Larsson,Mike Ribeiro,Mikkel Boedker
Calgary,Lance Bouma,Matt Stajan,Lee Stempniak
Calgary,Corban Knight,Ben Street,Curtis Glencross
Phoenix,Zbynek Michalek,Kyle Chipchura,David Rundblad
Phoenix,Oliver Ekman-Larsson,Keith Yandle,Mike Smith
Phoenix,Jeff Halpern,Kyle Chipchura,Michael Stone
NY Rangers,Brad Richards,Carl Hagelin,Benoit Pouliot
NY Rangers,Derick Brassard,Ryan Mcdonagh,Mats Zuccarello
Phoenix,Kyle Chipchura,Zbynek Michalek,
NY Rangers,Dan Girardi,Ryan Mcdonagh,Benoit Pouliot
NY Rangers,Ryan Mcdonagh,Dan Girardi,Carl Hagelin
Los Angeles,Jeff Carter,Alec Martinez,Tyler Toffoli
Los Angeles,Justin Williams,Robyn Regehr,Anze Kopitar
Philadelphia,Matt Read,Braydon Coburn,Sean Couturier
Philadelphia,Jakub Voracek,Scott Hartnell,
Los Angeles,Dwight King,Slava Voynov,
Ottawa,Erik Karlsson,Colin Greening,
Tampa Bay,Nikita Kucherov,Tyler Johnson,
Ottawa,Jason Spezza,Milan Michalek,Erik Karlsson
Ottawa,Kyle Turris,Mark Stone,Erik Karlsson
Tampa Bay,Victor Hedman,Valtteri Filppula,Ondrej Palat
Tampa Bay,Steven Stamkos,Ondrej Palat,Ryan Callahan
Montreal,Alexei Emelin,Daniel Briere,Brian Gionta
Boston,Patrice Bergeron,Dougie Hamilton,Loui Eriksson
Dallas,Ray Whitney,Jamie Benn,Sergei Gonchar
Dallas,Tyler Seguin,Jamie Benn,Alex Chiasson
Winnipeg,Bryan Little,Evander Kane,Tobias Enstrom
San Jose,James Sheppard,Matt Nieto,Dan Boyle
Calgary,Joe Colborne,Tyler Wotherspoon,Curtis Glencross
Philadelphia,Brayden Schenn,Vincent Lecavalier,Mark Streit
Toronto,Phil Kessel,Dion Phaneuf,
Toronto,Dave Bolland,Joffrey Lupul,Nikolai Kulemin
Toronto,Dave Bolland,Joffrey Lupul,Cody Franson
Detroit,Mikael Samuelsson,Cory Emmerton,Niklas Kronwall
Detroit,Pavel Datsyuk,,
Buffalo,Zemgus Girgensons,Brian Flynn,
Colorado,Ryan OReilly,,
Colorado,Steve Downie,Ryan OReilly,Alex Tanguay
Colorado,John Mitchell,Tyson Barrie,Cody Mcleod
Colorado,Jamie Mcginn,Nathan Mackinnon,Alex Tanguay
Colorado,Jamie Mcginn,Nathan Mackinnon,Pa Parenteau
Colorado,Matt Duchene,Steve Downie,Alex Tanguay
Anaheim,Jakob Silfverberg,Nick Bonino,Mark Fistric
NY Islanders,John Tavares,Travis Hamonic,
Nashville,Craig Smith,Gabriel Bourque,David Legwand
NY Islanders,John Tavares,Matt Moulson,Travis Hamonic
NY Islanders,Lubomir Visnovsky,Matt Moulson,Colin Mcdonald
NY Islanders,Colin Mcdonald,Brock Nelson,Frans Nielsen
NY Islanders,Matt Donovan,Brock Nelson,Matt Moulson
NY Islanders,Josh Bailey,Travis Hamonic,Andrew Macdonald
Nashville,Simon Moser,Ryan Ellis,Nick Spaling
Nashville,Craig Smith,Victor Bartley,Gabriel Bourque
Nashville,Roman Josi,Rich Clune,Matt Hendricks
Carolina,Patrick Dwyer,Jordan Staal,Ron Hainsey
Washington,Eric Fehr,Dane Byers,
Washington,Alex Ovechkin,Connor Carrick,Mathieu Perreault
Washington,Tom Wilson,Mikhail Grabovski,Jason Chimera
Philadelphia,Claude Giroux,Matt Read,
Philadelphia,Scott Hartnell,Sean Couturier,Kimmo Timonen
Philadelphia,Wayne Simmonds,Vincent Lecavalier,Brayden Schenn
Washington,Eric Fehr,Connor Carrick,Mathieu Perreault
Washington,Alex Ovechkin,Eric Fehr,Connor Carrick
Washington,Mathieu Perreault,,
Detroit,Joakim Andersson,Xavier Ouellet,Todd Bertuzzi
Toronto,Nazem Kadri,Mason Raymond,Jake Gardiner
Detroit,Luke Glendening,Kyle Quincey,Mikael Samuelsson
Toronto,Joffrey Lupul,Nikolai Kulemin,Jake Gardiner
Detroit,Henrik Zetterberg,Johan Franzen,Pavel Datsyuk
Detroit,Daniel Alfredsson,Henrik Zetterberg,Pavel Datsyuk
Detroit,Johan Franzen,Niklas Kronwall,Daniel Alfredsson
Minnesota,Jared Spurgeon,Zach Parise,Mikko Koivu
St. Louis,Patrik Berglund,Alex Pietrangelo,Jaden Schwartz
St. Louis,David Backes,Jay Bouwmeester,Alex Pietrangelo
St. Louis,Chris Stewart,Derek Roy,Jordan Leopold
Phoenix,Radim Vrbata,David Rundblad,
San Jose,Bracken Kearns,James Sheppard,
Phoenix,Oliver Ekman-Larsson,David Rundblad,Mike Ribeiro
Pittsburgh,Chuck Kobasew,Brandon Sutter,Beau Bennett
Pittsburgh,Sidney Crosby,Pascal Dupuis,Matt Niskanen
Pittsburgh,Craig Adams,Evgeni Malkin,Tanner Glass
Calgary,David Jones,Sean Monahan,
Calgary,Lee Stempniak,Mark Giordano,Mikael Backlund
Calgary,Jiri Hudler,Tj Brodie,Mark Giordano
Washington,Connor Carrick,Marcus Johansson,Karl Alzner
Calgary,Lance Bouma,Brian Mcgrattan,Ben Street
Washington,Alex Ovechkin,Mike Green,Marcus Johansson
Washington,Alex Ovechkin,Marcus Johansson,Nicklas Backstrom
Washington,Nicklas Backstrom,Mikhail Grabovski,Alex Ovechkin
Boston,Chris Kelly,,
Tampa Bay,Valtteri Filppula,Eric Brewer,Alex Killorn
Boston,Milan Lucic,David Krejci,
Boston,Patrice Bergeron,,
Minnesota,Matt Cooke,Kyle Brodziak,Mikael Granlund
Los Angeles,Drew Doughty,Slava Voynov,Anze Kopitar
Minnesota,Jonas Brodin,Nino Niederreiter,Mikael Granlund
Los Angeles,Jeff Carter,Matt Frattin,Robyn Regehr
St. Louis,David Backes,Alex Pietrangelo,Patrik Berglund
St. Louis,Vladimir Sobotka,Jay Bouwmeester,Alex Pietrangelo
Nashville,Mike Fisher,Nick Spaling,Eric Nystrom
Nashville,David Legwand,Patric Hornqvist,
St. Louis,Alexander Steen,Derek Roy,Kevin Shattenkirk
Florida,Scott Gomez,Scottie Upshall,Brian Campbell
Dallas,Alex Chiasson,Ray Whitney,Brenden Dillon
Dallas,Brenden Dillon,Vernon Fiddler,Antoine Roussel
Florida,Aleksander Barkov,Tom Gilbert,Jonathan Huberdeau
Florida,Marcel Goc,Tomas Fleischmann,Brian Campbell
Florida,Marcel Goc,,
Vancouver,Jason Garrison,Daniel Sedin,Henrik Sedin
San Jose,Brent Burns,Tomas Hertl,Joe Thornton
San Jose,Justin Braun,Marc-Edouard Vlasic,Logan Couture
San Jose,Patrick Marleau,Logan Couture,
San Jose,Tommy Wingels,Andrew Desjardins,
Phoenix,Kyle Chipchura,Rob Klinkhammer,Oliver Ekman-Larsson
NY Rangers,Marc Staal,Rick Nash,Derek Stepan
Phoenix,Radim Vrbata,Martin Hanzal,Derek Morris
Phoenix,Radim Vrbata,Keith Yandle,Antoine Vermette
Phoenix,Radim Vrbata,Martin Hanzal,
Carolina,Jay Harrison,Ryan Murphy,Jeff Skinner
Philadelphia,Luke Schenn,Kris Newbury,
Carolina,Radek Dvorak,Jeff Skinner,
Winnipeg,Andrew Ladd,Blake Wheeler,Tobias Enstrom
Anaheim,Mathieu Perreault,Jakob Silfverberg,Ben Lovejoy
Winnipeg,Andrew Ladd,Blake Wheeler,Bryan Little
